%,persen
lma,lama
lmbga,lembaga
lmyan,lumayan
lmyn,lumayan
ln,luar negeri
lngkah,langkah
lngkp,lengkap
lngsing,langsing
lngsng,langsung
lngsung,langsung
lnjt,lanjut
lnjut,lanjut
lnjuti,lanjuti
lnjutx,lanjutnya
lo,kamu
lobang,lubang
loch,loh
loe,kamu
loh,lho
lohh,lo
lohhh,loh
lohhhh,loh
loka karya,lokakarya
loksyut,lokasi syuting
lol,tertawa
lola,lambat berfikir
lom,belum
loncatt,loncat
loncattt,loncat
loo,lo
looh,loh
loohhh,loh
looo,loh
loooh,loh
looohh,loh
loro,dua
louph,cinta
loupz,cinta
love,cinta
lovers,pencinta
low,kalau
lowh,kamu
lp,lupa
lpgn,lapangan
lpn,walaupun
lputan,liputan
lsg,langsung
lt,lantai
lu,kamu
luaaaarrrrr,luar
luaarrr,luar
luber,langsung
luccu,lucu
luchu,lucu
luchuw,lucu
luco,lucu
luconnn,lucu
lucu2,lucu lucu
lucuk,lucu
lucukkkkk,lucu
lucunaaa,lucunya
lucunyah,lucunya
lucuu,lucu
lucuukk,lucu
lucuuu,lucu
lucuuuk,lucu
lucuuuu,lucu
lucuuuuu,lucu
lucuuuuuuuu,lucu
lucuuuuuuuuuu,lucu
lucux,lucunya
ludes,habis
luff,cinta
luh,lu
luhhh,lu
lum,belum
lupain,lupakan
luph,cinta
lurusin,meluruskan
luruskn,luruskan
lusin,losin
luthu,lucu
luthuna,lucunya
lutu,lucu
lutuna,lucunya
lutunaa,lucunya
lutunaaa,lucunya
luu,lu
luucuuu,lucu
luuuaar,luar
luuuucuuu,lucu
lw,kalau
lwn,lawan
lwt,lewat
lyt,lihat
m,sama
m3ki,memek
ma,sama
maaasss,mas
maaci,terima kasih
maacih,terima kasih
maaciw,terima kasih
ma'af,maaf
maafin,memaafi
maak,mak
maap,maaf
maapin,maaf
maau,mau
maauuu,mau
mabal,bolos
mabes,markas besar
mabok,mabuk
mabokan,mabukan
mabokkkk,mabuk
mabukan,memabukkan
maca,masa
macam2,macam macam
macem,macam
macem macem,macam macam
macem2,macam macam
macem-macem,macam macam
macemnya,macamnya
macettt,macet
macih,masih
madesu,masa depan suram
madiri,mandiri
maem,makan
maen,main
maenya,mainnya
magabut,makan gaji buta
mager,malas gerak
maghrib,magrib
maha agung,mahaagung
mahall,mahal
mahapengasih1,maha pengasih
maharani,mahal
mahatma,maju sehat bersama
mahh,mah
mahhhh,mah
mahkluk,makhluk
mahluk,makhluk
maho,homo
mahsyur,masyhur
mahzab,mazhab
mai,mau
main2,main main
maine,mainnya
mainin,mainkan
maininnya,memainkannya
mainkartu,main kartu
mainkn,mainkan
mainn,main
maino,main
mainset,mindset
mainstream,sangat umum
mainu,main
mainz,main
majuu,maju
majuuu,maju
majuuuu,maju
mak,ibu
mak jang,kaget
makane,makanya
makany,makanya
makanyaa,makanya
makash,terima kasih
makasi,terima kasih
makasih,terima kasih
makax,makanya
make,makai
"maki""",maki maki
makkk,mak
makluk,makhluk
makny,maknya
maks,maksimal
maksain,memaksa
maksd,maksud
maksdux,maksudnya
maksiatdan,maksiat dan
maksih,terima kasih
maksir,menaksir
maksutku,maksudku
maladaptasi,malaadaptasi
malah,bahkan
malahh,malah
malangg,malang
maldistribusi,maladistribusi
malem,malam
males,malas
malfungsi,malafungsi
malgizi,malagizi
malh,malah
malingg,maling
malpraktik,malapraktik
malserap,malaserap
malsikap,malasikap
malsuai,malasuai
malsudnya,maksudnya
malu2in,malu malui
maluu,malu
maluuu,malu
maluuuu,malu
mam,makan
mama.nyy,mamanya
mamad,ahmad
mamah,mama
mamas,mas
mamax,mamanya
mamer,memamerkan
mampaat,manfaat
mampooss,mampus
mampusla,mampus
mampusssssss,mampus
mampuussss,mampus
mampuuu,mampu
mamz,makan
mana kala,manakala
mana suka,manasuka
manaaa,mana
managemen,manajemen
manasin,memanaskan
mancing2,memancing mancing
mancungin,memancungkan
mandek,berhenti
mandiin,memandikan
mandur,mandor
maneh,kamu
manen,panen
manfaatin,manfaatkan
mang,memang
manggil,panggil
mangka,maka
mangkanya,makanya
mangkanye,makanya
mangkok,mangkuk
mangkraaakkkk,mangkrak
mangkrakkk,mangkrak
mangku bumi,mangkubumi
mangnya,memangnya
manies,manis
maniez,manis
manisnyaaaa,manisnya
manisss,manis
manjain,memanjakan
manpaat,manfaat
mansetan,bermanset
mansyoallah,masyaallah
manta,mantan
mantaaap,mantap
mantaaappp,mantap
mantaap,mantap
mantab,mantap
mantabb,mantab
mantabh,mantap
mantabs,mantab
mantabss bagus,
mantaf,mantap
mantaff,mantap
mantanny,mantannya
mantapp,mantap
mantappp,mantap
mantapppppp,mantap
manteb,mantap
manteep,mantap
mantep,mantap
mantepp,mantap
manteppp,mantap
mantes,memantas
mantul,mantap betul
manusiy,manusia
mao,mau
mapia,mafia
mara bahaya,marabahaya
marah2,marah marah
marah2an,marah marahan
maree,mari
marh,marah
marjin,margin
marjinal,marginal
markasjudi,markas judi
marketing,pemasaran
markotop,sekali
markus,makelar kasus
markusip,sekali
martabakk,martabak
masa2,masa masa
masaaaa,masa
masak,masa
masakkk,masa
masalahh,masalah
mashur,masyhur
mashyur,masyhur
masi,masih
masihh,masih
masiiiiiih,masih
"masing""",masing masing
masing2,masih
masio,masih
masiv,masif
maslah,masalah
maso,masa
massal,masal
massss,mas
masukin,masukkan
masy,masyarakat
masya,masyarakat
masyaaakkk,masa
masyaallahhh,masyaallah
masyarakay,masyarakat
masyrakat,masyarakat
masyrkat,masyarakat
masyur,masyhur
mata hari,matahari
matany,matanya
mataq,mataku
mata'y,matanya
mateeeeeeeeeeee,mati
mateeeek,mati
materai,meterai
matere,materai
"mati""an",mati matian
matii,mati
matiin,matikan
mato,mata
mattihhh,mati
matur,terima
maturnuwum,terima kasih
mauu,mau
mauuu,mau
mauuuu,mau
mauuuuu,mau
mauuuuuu,mau
mauuuuuuu,mau
maw,mau
may,mau
mayan,lumayan
mayann,lumayan
maybe,mungkin
mb,mbak
mba,mbak
"mba""",mbak mbak
mbaa,mbak
mbaaa,mbak
mbaaahhh,mbah
mbaaass,mbak
mbaak,mbak
mbaakk,mbak
mbabibuta,ceroboh
mbacot,menyinyir
mbahh,mbah
"mbak""",mbak mbak
mbak2,mbak mbak
mbaknyaahh,mbaknya
mbakx,mbaknya
mbantu,membantu
mbanya,mbaknya
mbaur,baur
mbawa,membawa
mbayar,membayar
mbenci,membenci
mbengkak,membengkak
mberantas,memberantas
mberatas,memberantas
mbg,mbak
mbil,sambil
mbk,mbak
mblo,jomblo
mblooo,jomblo
mbls,membalas
mbntu,membantu
mboizzz,bois
mboseni,membosankan
mbual,bual
mbubarin,membubarkan
mbubarkan,membubarkan
mbuh,embuh
mcam,macam
mcm,macam
mdalam,mendalam
"mdh""",mudah mudah
mdh2an,mudah mudahan
mdh2n,mudah mudahan
mdhan,mudahan
mdp,mendapat
mdpt,mendapat
meakipun,meskipun
med,selamat
medukung,mendukung
meeting,pertemuan
mega watt,megawatt
megang,memegang
meguatkan,menguatkan
mehong,mahal
mehoonggggg,mahal
meker,mikir
meki,memek
mekontol,kontol
mekritik,mengkritik
mekso,maksa
melahirin,melahirkan
melakukn,melakukan
melampoi,melampaui
melbihi,melebihi
melebihin,melebihi
melek,lihat
melihara,memelihara
meloco,menyelam
melongo,diam
melu,ikut
meluk,memeluk
melulu,terus
memabokk,dimabuk
memainn,memainkannya
memakmurkn,memakmurkan
memanage,memanajemen
memange,memangnya
memanpaatkan,memanfaatkna
"membanding""",membanding banding
membaraaaa,membara
member,anggota
membgn,membangun
membgun,membangun
membngun,membangun
membubarin,membubarkan
mememang,memang
memenangg,memenangkan
memenangn,memenangkan
memenankan,memenangkan
memenghubung,menghubung
memeq,memek
memetingkan,mementingkan
memg,memang
memgakui,mengakui
memhek,memek
memhex,memek
memojokkn,memojokkan
mempesona,memesona
mempitnah,memfitnah
memprofokasi,memprovokasi
memrugi,merugi
memvitnah,memfitnah
menaikan,menaikkan
menajdi,menjadi
menangdongg,menang dong
menangees,menangis
menanges,menangis
menangin,menangkan
menanginn,menangkan
menangiss,menangis
menangkeun,menangkan
menasehati,menasihati
menbahas,membahas
menbelah,membelah
mencermari,mencermati
menciptkan,menciptakan
mencontek,menyontek
mencr,mencari
mencrderai,mencederai
mencydux,menciduk
mendam,memendam
mendapatkn,mendapatkan
mendaptkan,mendapatkan
mendatngkan,mendatangkan
mendepo,depositkan
mending,lebih baik
mendj,menjadi
mendkg,mendukung
mendngar,mendengar
mendominir,mendominasi
mendowngrade,menjatuhkan
mendpat,mendapat
mendpt,medapat
mendptkan,mendapatkan
mendtang,mendatang
menegerti,mengerti
menejemen,manajemen
menejer,manajer
meneketehe,tidak tahu
menel,centil
menelorkan,menelurkan
meneriaki,meneriakkan
menetang,menentang
menfitnah,memfitnah
mengait2kan,mengait ngaitkan
mengaiui,mengakui
mengakali,membohongi
mengalahkn,mengalahkan
mengalit,mengalir
mengangkangi,melangkahi
menganti,mengganti
mengatakn,mengatakan
mengcounter,menyerang
mengeluarkn,mengeluarkan
mengembembangkan,mengembangkan
mengembngkan,mengembangkan
mengendlikan,mengendalikan
mengenyampingkan,mengesampingkan
mengepalai,memimpin
mengerikannn,mengerikan
menggadeikan,menggadaikan
menggembosinya,menjatuhkannya
menggerogoti,mengrongrong
menggiring,mengantarkan
menggoyang,menjatuhkan
menghadirkn,menghadirkan
menghambukan,menghamburkan
menghandle,mengatur
mengherthii,mengerti
menghilangkn,menghilangkan
mengijinkan,mengizinkan
mengikutii,mengikuti
mengirusi,mengurusi
mengkem,diam
mengkerangkeng,mempenjarakan
mengncang,mengencang
mengolok,mengejek
mengperbolehkan,memperbolehkan
mengpliksikan,mengaplikasikan
mengritik,mengkritik
mengslot,bermain slot
mengugat,menggugat
menhargai,menghargai
menjalnkn,menjalankan
menjd,menjadi
menjdai,menjadi
menjdi,menjadi
menjelekan,menjelekkan
menjelekkn,menjelekkan
menjesejaterah,mensejahterakan
menjg,menjaga
menjlnkan,menjalankan
menjudge,menilai
menohok,menusuk
menolak,tolak
menowo,barangkali
menselaraskan,menyelaraskan
mensuport,mendukung
mensupporrt,mendukung
"mentah""",mentah mentah
mentality,mentalitas
"mentang""",mentang mentang
mentri,menteri
mentrinya,menterinya
mentskkan,mentersangkakan
menudu,menuduh
menunjukkn,menunjukkan
menunjungi,mengunjungi
menurur,menurut
menyakiti,menyakitkan
menyambng,menyambung
menyebrang,menyeberang
menyebut2,menyebut nyebut
menyejahterakan,mensejahterakan
menyenangkn,menyenangkan
menyerng,menyerang
menyintai,mencintai
menyolok,mencolok
menyosialisasikan,mensosialisasikan
menyukurinya,mensyukurinya
menyuport,mendukung
menyusupkn,menyusupkan
menzhalimi,menzalimi
mepet,dekat sekali
merahhh,merah
merakan,merasakan
meranin,memerankan
meraralela,merajalela
merdekaa,merdeka
merdekaaaa,merdeka
merecoki,menggaduh
merek,merk
mereka2,mereka mereka
merekaa,mereka
merekaaaa,mereka
merekak,mereka
meriahh,meriah
merindinggg,merinding
merk,merek
merka,mereka
meroke,merauke
merrid,merit
mersa,merasa
mersk,merusak
merubah,mengubah
merugikanbanyak,merugikan banyak
merwka,mereka
mesan,memesan
mesinslot,mesin slot
mesjid,masjid
meski pun,meskipun
mesrany,mesranya
met,selamat
meterei,meterai
metoda,metode
mewujudkn,mewujudkan
meyiapkan,menyiapkan
mf,maaf
mff,maaf
mfitnah,memfitnah
mg,moga
mgakibatkan,mengakibatkan
mgembosi,mengambil
mghina,menghina
mghiraukan,menghiraukan
mghujat,menghujat
mgk,mungkin
mgkambing,mengkambing
mgkin,mungkin
mgkn,mungkin
mgkritik,mengkritik
mgu,minggu
mh,mah
mhal,mahal
mhd,mahfud
mhn,mohon
mhon,mohon
mhsw,mahasiswa
mhswa,mahasiswa
miara,memiara
migas,minyak dan gas bumi
miikiiirrr,mikir
miker,minuman keras
mikir2,memikir mikir
mikirin,memikirkan
mikirinnn,memikirkan
mikirrrr,mikir
mikol,minuman beralkohol
mikro organisme,mikroorganisme
milih,memilih
milikin,memiliki
milis,mailing list
milyar,miliar
mimin,admin
mimpiii,mimpi
min,minimal
minattt,minat
mindahin,mindahkan
mingkatkan,meningkatkan
mingkem,diam
minjem,minjam
minn,admin
minorotas,minoritas
minpi,mimpi
minta,meminta
mintak,minta
mintk,minta
minusnhya,minusnya
"minyak""an",minyak minyakan
miras,minuman keras
miriiiiip,mirip
miriiiip,mirip
miriiippp,mirip
miriip,mirip
miring2,miring miring
miriplahhhhhh,miriplah
miripp,mirip
mirippp,mirip
miripppp,mirip
mirp,mirip
misqin,miskin
misquen,miskin
missal,masal
missi,misi
mitnah,memfitnah
mjadi,menjadi
mjaga,menjaga
mjd,menjadi
mjdi,menjadi
mjlnkan,menjalankan
mk,maka
mk.a,makanya
mka,maka
mkanya,makanya
mkasih,terima kasih
mkin,makin
mkir,memikir
mklum,maklum
mkn,makin
mkng,mungkin
mknya,makanya
mknye,makanya
mkritik,mengkritik
mksd,maksud
mksdku,maksudku
mksdny,maksudnya
mksdnya,maksudnya
mksdx,maksudnya
mksh,terima kasih
mksih,terima kasih
mkst,maksud
mksud,maksud
mksudnya,maksudnya
mlah,malah
mlahirkan,melahirkan
mlai,mulai
mlakukan,melakukan
mlalui,melalui
mlarat,melarat
mlawan,melawan
mlayu,melayu
mlempem,lemah
mlepaskan,melepaskan
mlh,malah
mlht,melihat
mlibatkan,melibatkan
mlihat,melihat
mlik,milik
mlikk,milik
mlkukan,melakukan
mlm,malam
mlnggar,melanggar
mlnjutkan,melanjutkan
mlongo,melongo
mls,malas
mlt.a,mulutnya
mlu,malu
mlulu,melulu
mluruskan,meluruskan
mlyr,miliyar
mlz,malas
mmaksa,memaksa
mmang,memang
mmanjakan,memanjakan
mmbahu,membahu
mmbanggakan,membanggakan
mmbangun,membangun
mmbedakan,membedakan
mmbela,membela
mmbenarkan,membenarkan
mmberi,memberi
mmberikan,memberikan
mmberikn,memberikan
mmbodohkan,membodohkan
mmbrikan,memberikan
mmbuat,membuat
mmcpai,mencapai
mmerangi,memengangi
mmf,maaf
mmg,memang
mmgnya,memangnya
mmilih,memilih
mmng,memang
mmnjakan,memanjakan
mmperbaiki,memperbaiki
mmpercaykn,mempercayakan
mmperjuangkan,memperjuangkan
mmprtimbgkan,mempertimbangkan
mmpu,mampu
mmulai,memulai
mmz,mas
mn,mana
mna,mana
mnambah,menambah
mnambh,menambah
mnancapkan,menancapkan
mnangkap,menangkap
mncoba,mencoba
mncul,muncul
mndaptkan,mendapatkan
mnding,mending
mndingan,mendingan
mndpat,mendapat
mndpt,mendapat
mndptkn,mendapatkan
mndukung,mendukung
mnempati,menempati
mnepati,menepati
mnerbitkan,menerbitkan
mnerima,menerima
mngakui,mengakui
mngalami,mengalami
mngasi,mengasih
mngatakan,mengatakan
mngenai,mengenai
mngendalikan,mengendalikan
mngerti,mengerti
mngganggu,mengganggu
mnghadiri,menghadiri
mngharap,mengharap
mngharapkan,mengharapkan
mnghilangkan,menghilangkan
mnghina,menghina
mnghormati,menghormati
mngikuti,mengikuti
mnginginkan,menginginkan
mngintimidasi,mengintimidasi
mngira,mengira
mngkannya,mangkanya
mngkin,mungkin
mngkn,mungkin
mngkritik,mengkritik
mngmbil,mengambil
mngrti,mengerti
mngtkn,mengaitkan
mngubah,mengubah
mngutuk,mengutuk
mnikmati,menikmati
mnilai,menilai
mningkatkan,meningkatkan
mnipu,tipu
mnis2nya,manis manisnya
mnisss,manis
mnj,menjadi
mnjabat,menjabat
mnjabt,menjabat
mnjadi,menjadi
mnjaga,menjaga
mnjalankan,menjalankan
mnjalankn,menjalankan
mnjatuhkan,menjatuhkan
mnjatuhkn,menjatuhkan
mnjauhi,menjauhi
mnjawab,menjawab
mnjbat,menjabat
mnjd,menjadi
mnjdi,menjadi
mnjdkan,menjadikan
mnjelang,menjelang
mnjelekan,menjelekan
mnjga,menjaga
mnjijikaaaaaan,menjijikkan
mnjlankan,menjalankan
mnjlkn,menjalankan
mnjlnkn,menjalankan
mnjm,menjamin
mnjmput,menjemput
mnjthkan,menjatuhkan
mnju,menuju
mnjual,menjual
mnngkp,menangkap
mnolak,tolak
mnpati,menepati
mnrskan,meneruskan
mnrt,menurt
mnrtku,menurutku
mnrtkuu,menurutku
mnrut,menurut
mnstimulasi,menstimulasi
mnt,minta
mnta,minta
mntal,mental
mntap,mantap
mntn,mantan
mntp,mantap
mntri,menteri
mnuduh,menuduh
mnuju,menuju
mnurut,menurut
mnusuk,menusuk
mnutup,menutup
mnyalahkan,menyalahkan
mnyalahkannya,menyalahkan
mnyalahkn,menyalahkan
mnyebabkan,menyebabkan
mnyisakan,menyisakan
mnyngkut,menyangkut
mnyumpah,menyumpah
mnyuruh,menyuruh
mnzolimi,menzalimi
mo,mau
modaarr,mati
modar,mati
model2,model model
moderen,modern
modes,modis
modus,maksud lain
moga,semoga
moge,motor gede
mohom,mohon
mojokin,mojokkan
mokad,mati
mokat,mati
monarkhi,monarki
money,uang
monggo,mari
monggo,silakan
moqa,moga
moril,moral
moso,masa
mosok,masa
most,paling
motifasi,motivasi
motiv,motif
motret,memotret
mpe,sampai
mpengaruhi,memperngaruhi
mr,tuan
mrah,marah
mrangkul,merangkul
mraskn,merasakan
mrasknan,merasakan
mreka,mereka
mrekaa,mereka
mrekaaaa,mereka
mrh,marah
mrip,mirip
mrit,merit
mrk,mereka
mrka,mereka
mrklah,merekalah
mrnghadapi,menghadapi
mrngkritik,mengkritik
mrpkan,merupakan
mrpkn,merupakan
mrs,merasa
mrsakan,merasakan
mrugikan,merugikan
mrusak,merusak
ms,masa
"ms""",masa masa
msa,masa
msalah,masalah
msg,masing
msg2,masing masing
msh,masih
msi,masih
msih,masih
msk,masuk
mskasih,terima kasih
msknya,masaknya
mskpn,meskipun
mskpun,meskipun
mslah,masalah
mslh,masalah
mslhnya,masalahnya
msng,masing
msng2,masing masing
msrkt,masyarakat
mst,mesti
msti,mesti
mstinya,mestinya
msuk,masuk
msyarakat,masyarakat
msyrkat,masyarakat
msyrkt,masyarakat
mt,makan teman
mta,mata
mtanya,matanya
mti,mati
mu,kamu
muaaantap,mantap
muadzin,muazin
muahal,mahal
mualll,mual
muantaap,mantap
muantap,mantap
muantteepp,mantap
mubadir,mubazir
mubes,musyawarah besar
much,lebih
mudaa,muda
"mudah""an",mudah mudahan
"mudah""n",mudah mudahan
mudah2,mudah mudah
mudah2an,mudah mudahan
mudah2n,mudah mudahan
"mudh""an",mudah mudahan
mudhan,mudahan
muga,moga
mujijat,mukjizat
mujizat,mukjizat
mu'jizat,mukjizat
"muka""",muka muka
muka2,muka muka
mukae,mukanya
mukanyaa,mukanya
mukax,mukanya
muke,muka
muker,musyawarah kerja
muliany,mulianya
mulu,melulu
mulusssss,mulus
mulut2,mulut mulut
mulutny,mulutnya
mulutnyaaa,mulutnya
muluuu,melulu
mulya,mulia
mumet,pusing
mumpung,selagi
mumpuni,mahir
muna,munafik
munaafikk,munafik
munafikk,munafik
munas,musyawarah nasional
munaslub,musyawarah nasional luar biasa
muncung,mulut
munfik,munafik
mungki,mungkin
mungkiin,mungkin
mungkinn,mungkin
munkar,mungkar
muntaber,muntah dan berak
mupeng,muka pengin
muraaaaah,murah
murahhh,murah
mure,murah
murhan,murahan
murmer,murah meriah
musda,musyawarah daerah
musium,museum
musti,mesti
mustinya,harusnya
muter,mutar
mutihin,memutihkan
mutuain,memutuskan
mutusin,memutuskan
muup,maaf
muupz,maaf
muuuu,mu
muuv,maaf
mw,mau
mz,mas
n,dan
na,nya
naaaa,nya
naaaaahh,nah
naaaak,nak
naaahhh,nah
naah,nah
naas,nahas
naek,naik
naekin,naikkan
naeknya,naiknya
nafas,napas
nafass,nafas
nafkahin,menafkahi
naggung,menanggung
nagiss,menangis
nahan,menahan
nahannnn,tahan
nahh,nah
nahhh,nah
nahkoda,nakhoda
naikin,naikan
naikny,naiknya
naini,nah ini
najibs,najib
najiss,najis
nak,mau
naka,nakal
nakin,makin
nakoda,nakhoda
naksir,menaksir
nakutin,menakutkan
nal,kenal
"nama""",nama nama
nama.a,namanya
namain,menamai
nama'in,namai
namany,namanya
namax,namanya
nambah,bertambah
nambahh,bertambah
namnya,namanya
nampak,menampak
nampar,menampar
nanam,menanam
nanganin,menangani
nanget,banget
nanggepin,menanggapi
nangiiiiis,menangis
nangiiis,menangis
nangiis,menangis
nangis,menangis
"nangis""",menangis nangis
nangiss,menangis
nangisss,menangis
nangkep,nangkap
nantangin,menantang
nantii,nanti
nantiii,nanti
nantik,nanti
nanya,bertanya
naon,apa
napa,kenapa
napi,nara pidana
napol,narapidana politik
napsu,nafsu
napsuu,napsu
napza,narkotika
naq,anak
nara,narasumber
nari,menari
narik,menarik
narkoba,narkotika
narsis,bangga pada diri sendiri
nasbung,nasi bungkus
nasehat,nasihat
nasehatin,menasihati
nasgor,nasi goreng
nasibx,nasibnya
natap,menatap
naturalllll,natural
nawarin,menawari
nax,anak
ncek,encek
nd,indak
nda,indak
ndak,indak
ndan,komandan
ndeso,kampungan
ndesopun,desapun
ndiri,sendiri
ndk,tidak
ndukung,mendukung
ndut,gendut
ne,ini
nebeng,numpang
nee,ini
neeh,ini
neg,negara
negatip,negatif
negativ,negatif
negative,negatif
negiri,negeri
negoisasi,negosiasi
negri,negeri
negriku,negeriku
neh,ini
nehh,ini
nekad,nekat
neko2,neko neko
nekolim,neokolonialisme
nekolin,neokolonialisme
nelfon,menelepon
nelpon,menelepon
nembak,menembak
nempel,menempel
nemuin,menemukan
nenas,nanas
"nenek""",nenek nenek
nenek2,nenek nenek
nenen,tetek
nengok,menengok
nenjadi,menjadi
nentuin,menentukan
neolib,neoliberal
nerawang,menerawang
nerima,menerima
nerusak,merusak
nerusin,meneruskan
netaas,menetas
netes,menetes
netijen,netizen
netralisir,netralisasi
next,lanjut
ng,tidak
nga,enggak
ngabis2in,menghabiskan
ngabisin,menghabiskan
ngabuburit,menunggu berbuka puasa
ngabur,kabur
ngaca,mengaca
ngacaaa,mengaca
ngacauin,mengacau
ngaco,kacau
ngadain,mengadakan
ngademin,mengademkan
ngadepin,menghadapi
ngadu,mengadu
ngaharamkeun,mengharamkan
ngaitin,mengaitkan
ngajak,mengajak
ngajar,mengajar
ngajarin,mengajari
ngajelaskeun,menjelaskan
ngaji,mengaji
ngajuin,mengajukan
ngak,enggak
ngakaaaakkk,mengakak
ngakak,ketawa
ngakakk,tertawa
ngakakkk,mengakak
ngakaks,ngakak
ngaku,mengaku
"ngaku""",mengaku ngaku
ngakunya,mengakunya
ngalah,mengalah
ngalahin,mengalahkan
ngalihin,mengalihkan
ngalir,mengalir
ngalirrrrr,mengalir
ngamatin,mengamati
ngambek,marah
ngambekan,ambekan
ngambeknya,mengambeknya
ngambil,mengambil
ngampus,pergi ke kampus
ngamuk,marah
ngana,kamu
nganbek,mengambek
ngancam,mengancam
ngancem,mengancam
ngancurin,menghancurkan
ngandelkeun,mengandalkan
nganggap,menganggap
nganggepin,menanggapi
nganggur,menganggur
nganggurin,menganggurkan
ngantar,mengantar
nganteng,ganteng
nganterin,mengantarkan
ngantok,ngantuk
ngantri,mengantri
ngantrinya,mengantrinya
ngapaen,ngapain
ngapah,kenapa
ngapain,mengapa
ngapasih,mengapa sih
ngapresiasi,mengapresiasi
ngapus,menghapus
ngapusi,menghapus
ngara,negara
ngarahin,mengarahkan
ngarang,mengarang
ngarep,berharap
ngareppppp,mengharap
ngaret,terlambat
ngarsipin,mengarsipkan
ngarti,mengerti
ngartiin,mengartikan
ngaruh,berpengaruh
ngasal,asal
ngasi,mengasih
ngasih,memberi
ngasih2,mengasih ngasih
ngata2in,mengata ngatai
ngatai,mengatai
ngatain,mengatai
ngatur,mengatur
ngawasin,mengawasi
ngawatirin,mengkhawatirkan
ngawur,asal asalan
ngayal,mengkhayal
ngbom,membom
ngcpin,mengucapkan
ngebacot,nyinyir
ngebahas,membahas
ngebala,bala
ngebales,membalas
ngebandel,berbuat bandel
ngebangun,membangun
ngebantu,membantu
ngebayangin,membayangkan
ngebedain,membedakan
ngebela,membela
ngebelain,membela
ngebenci,membenci
ngebet,ingin
ngebiarin,membiarkan
ngeblok,memblokir
ngebolehin,membolehkan
ngebuat,membuat
ngebuktiin,membuktikan
ngebully,intimidasi
ngecam,mengecam
ngecancel,membatalkan
ngecek,mengecek
ngeceng,kumpul bareng bareng
nged,banget
ngedepoin,depositkan
ngeditnya,mengeditnya
ngedukung,mendukung
ngedumel,marah
ngefans,fan
ngefitnah,memfitnah
ngegaji,menggaji
ngegampar,menggampar
ngeganggu,mengganggu
ngegantiin,menggantikan
ngegemesin,menggemaskan
ngegmesin,menggemaskan
ngegosip,bergosip
ngegoyang,menggoyang
ngeh,engah
ngehakimi,menghakimi
ngehancurin,menghancurkan
ngehe,kesal
ngehina,menghina
ngehujat,menghujat
ngeidealin,mengidealkan
ngejabat,menjabat
ngejatuhin,manjatuhkan
ngejek,mengejek
ngejelasin,menjelaskan
ngejelek,menjelekkan
ngejelek2in,menjelek jelekkan
ngejelekin,menjelekkan
ngejilat,menjilat
ngejuangin,memperjuangkan
ngejudge,menilai
ngekampanyein,mengempanyekan
ngekeh,kekeh
ngekek,mengekek
ngeklaim,mengklaim
ngekos,tinggal di kos
ngeksis,menjadi eksis
ngelaguin,melagukan
ngelahirin,melahirkan
ngelak,mengelak
ngelakuin,melakukan
ngelamar,melamar
ngelanjutin,melanjutkan
ngelanjutkan,melanjutkan
ngelapor,melapor
ngelaporin,melaporkan
ngelarang,melarang
ngelawak,melawak
ngelawan,melawan
ngelayani,melayani
ngelepas,melepas
ngelepaskan,melepaskan
ngeles,berkilah
ngelesnya,alasannya
ngelewati,melewati
ngeliat,melihat
ngeliatin,melihati
ngeliatnya,melihatnya
ngelidur,menggigau
ngelihat,melihat
ngelihatnya,melihatnya
ngeluarin,mengeluarkan
ngelucu,melucu
ngeludah,meludah
ngelunasin,melunaskan
ngelunjak,melunjak
ngembali,kembali
ngembat,mengambil
ngemeng,bicara terus terusan
ngemengnya,bicaranya
ngemis,mengemis
ngendhi,dimana
ngenes,miris
ngent0d,ngentot
ngentod,ngentot
ngentot,senggama
ngentotin,senggama
ngepake',memakai
ngepoin,mengepoi
ngepromoin,mempromosikan
ngerampas,merampas
ngerampok,merampok
ngerasa,merasa
ngerasain,merasai
ngerawat,merawat
ngerayain,merayakan
ngerebut,merebut
"ngerebut""",merebut rebut
ngerecoki,menggaduh
ngerecokin,merecoki
ngerendahin,merendahkan
ngerespon,merespons
ngeretweet,retweet
ngeri,seram
ngeri2,ngeri ngeri
ngeributin,meributkan
ngerii,ngeri
ngeriiiiii,ngeri
ngeriiikkk,ngeri
ngeritik,mengkritik
ngerocos,mengkritik
ngerokok,merokok
ngerongrong,mengganggu
ngerrrriiii,ngeri
ngerti,mengerti
ngertii,mengerti
ngertiin,mengerti
ngerugiin,merugikan
ngerussak,merusak
ngesahkan,mengesahkan
ngeselin,mengesalkan
ngeslot,slot
nget,banget
ngetawain,ditertawakan
ngetik,mengetik
ngets,banget
ngetsz,banget
ngettt,banget
ngetwit,tweet
ngeuh,engah
ngfans,fan
ngg,enggak
ngga,enggak
nggaa,tidak
nggaji,menggaji
nggak,enggak
nggali,menggali
nggeh,engah
nggembosi,menurunkan
ngggk,enggak
nggih,baik
nggk,enggak
nggu,menunggu
nggumum,bicara
ngibul,berbohong
ngibuli,bohong
ngibulin,membohongi
ngidam,mengidam
ngiklanin,mengiklankan
ngikut,ikut
ngikutin,mengikuti
ngilang,menghilang
ngilangin,menghilangkan
ngiler,mau
ngilerrrr,mengiler
ngimbangin,mengimbangi
ngimpi,mimpi
ngimpiii,mimpi
ngincer,mengincar
nginep,menginap
ngingetin,mengingatkan
